muscle_group_pt,muscle_group_en,subgroup_pt,subgroup_en,exercise_pt,exercise_en
Glúteos,Glutes,Glúteo médio,Gluteus medius,Abdução de quadril na máquina,Hip abduction machine
Glúteos,Glutes,Glúteo médio,Gluteus medius,Abdução de quadril deitado,Side-lying hip abduction
Glúteos,Glutes,Glúteo médio,Gluteus medius,Caminhada lateral com banda,Banded lateral walk
Glúteos,Glutes,Glúteo médio,Gluteus medius,Concha,Clamshell
Glúteos,Glutes,Glúteo mínimo,Gluteus minimus,Abdução de quadril na polia em pé,Standing cable hip abduction
Glúteos,Glutes,Glúteo mínimo,Gluteus minimus,Prancha com abdução de perna,Plank with leg abduction
Abdómen,Abs,Reto abdominal,Rectus abdominis,Abdominal,Crunch
Abdómen,Abs,Reto abdominal,Rectus abdominis,Abdominal na máquina,Machine crunch
Abdómen,Abs,Reto abdominal,Rectus abdominis,Abdominal na polia,Cable crunch
Abdómen,Abs,Reto abdominal,Rectus abdominis,Sit-up,Sit-up
Abdómen,Abs,Abdómen inferior,Lower abs,Elevação de pernas,Leg raise
Abdómen,Abs,Abdómen inferior,Lower abs,Elevação de joelhos suspenso,Hanging knee raise
Abdómen,Abs,Abdómen inferior,Lower abs,Elevação de pernas suspenso,Hanging leg raise
Abdómen,Abs,Abdómen inferior,Lower abs,Abdominal invertido,Reverse crunch
Abdómen,Abs,Oblíquos,Obliques,Rotação russa,Russian twist
Abdómen,Abs,Oblíquos,Obliques,Prancha lateral,Side plank
Abdómen,Abs,Oblíquos,Obliques,Flexão lateral com haltere,Dumbbell side bend
Abdómen,Abs,Oblíquos,Obliques,Abdominal bicicleta,Bicycle crunch
Abdómen,Abs,Oblíquos,Obliques,Lenhador na polia,Cable woodchopper
Abdómen,Abs,Core,Core,Prancha,Plank
Abdómen,Abs,Core,Core,Roda abdominal,Ab wheel rollout
Abdómen,Abs,Core,Core,Escalador,Mountain climber
Abdómen,Abs,Core,Core,Inseto morto,Dead bug
Abdómen,Abs,Transverso,Transverse abdominis,Vacuum abdominal,Stomach vacuum
Abdómen,Abs,Transverso,Transverse abdominis,Prancha com alcance,Plank with reach
